Customer ID,Recency,Frequency,Monetary,TotalOrders,TotalProducts,AvgOrderValue,LifetimeRevenue,FirstPurchase,LastPurchase,CustomerAgeDays,DaysSinceLastPurchase
12346,326,12,77556.46,12,74285,2281.0723529411766,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,400,326
12347,2,8,4921.53,8,2967,22.169054054054055,4921.53,2010-10-31 14:20:00,2011-12-07 15:52:00,402,2
12348,75,5,2019.4,5,2714,39.596078431372554,2019.4,2010-09-27 14:59:00,2011-09-25 13:13:00,362,75
12349,19,4,4428.69,4,1624,25.3068,4428.69,2010-04-29 13:20:00,2011-11-21 09:51:00,570,19
12350,310,1,334.4,1,197,19.670588235294115,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,0,310
12351,375,1,300.93,1,261,14.33,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,0,375
12352,36,10,2849.84,10,724,27.668349514563108,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,356,36
12353,204,2,406.76,2,212,16.948333333333334,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,204,204
12354,232,1,1079.4,1,530,18.610344827586207,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,0,232
12355,214,2,947.61,2,543,27.074571428571428,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,353,214
12356,23,6,6371.73,6,3416,44.87133802816901,6371.73,2010-10-11 09:42:00,2011-11-17 08:40:00,401,23
12357,33,3,18287.66,3,6587,61.78263513513514,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,355,33
12358,2,5,3887.07,5,1079,50.48142857142857,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,730,2
12359,58,10,8873.39,10,2739,24.5121270718232,8873.39,2009-12-05 13:32:00,2011-10-13 12:47:00,676,58
12360,52,8,4252.89,8,2459,19.59857142857143,4252.89,2010-02-22 09:32:00,2011-10-18 15:22:00,603,52
12361,287,4,511.25,4,235,17.629310344827587,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,394,287
