StockCode,Description,TotalRevenue,TotalQuantity,TransactionCount,RevenueContribution,CumulativeRevenueShare,ABC_Class
22423,REGENCY CAKESTAND 3 TIER,277656.25,24124,3317,0.015980395848911668,0.015980395848911668,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,247048.01,91757,4888,0.014218750679971687,0.030199146528883357,A
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,0.009696201315503647,0.039895347844387,A
M,Manual,151777.67,9384,620,0.008735503874396797,0.0486308517187838,A
85099B,JUMBO BAG RED RETROSPOT,134307.44,74224,2612,0.00773001168406601,0.056360863402849806,A
POST,POSTAGE,124648.04,5235,1803,0.007174068730637166,0.06353493213348697,A
84879,ASSORTED COLOUR BIRD ORNAMENT,124351.86,78234,2652,0.007157022207670258,0.07069195434115723,A
47566,PARTY BUNTING,103283.38,23460,2077,0.005944434159193487,0.07663638850035072,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195,0.00468590775148754,0.08132229625183826,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,76598.18000000001,28380,1691,0.004408578008621052,0.0857308742604593,A
79321,CHILLI LIGHTS,69084.3,14843,922,0.003976119611732019,0.08970699387219133,A
85099F,JUMBO BAG STRAWBERRY,64127.77,35842,1514,0.0036908484844406066,0.09339784235663194,A
21137,BLACK RECORD COVER FRAME,63092.12,18417,539,0.0036312420575695197,0.09702908441420147,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,55880.17,28606,525,0.0032161611226272716,0.10024524553682873,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,54525.36,9678,1048,0.003138185567961875,0.1033834311047906,A
21621,VINTAGE UNION JACK BUNTING,54432.62,6497,1121,0.0031328479538760114,0.10651627905866662,A
15056N,EDWARDIAN PARASOL NATURAL,54332.61,10948,863,0.003127091917810374,0.10964337097647699,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,52188.18,28899,1449,0.0030036700957902264,0.11264704107226721,A
23084,RABBIT NIGHT LIGHT,51251.24,27153,801,0.0029497448839980217,0.11559678595626523,A
22470,HEART OF WICKER LARGE,49859.5,17104,1743,0.0028696438377627423,0.11846642979402797,A
21733,RED HANGING HEART T-LIGHT HOLDER,48850.6,17228,1631,0.0028115769965806436,0.12127800679060861,A
21931,JUMBO STORAGE BAG SUKI,47760.99,25970,1714,0.002748864923213188,0.1240268717138218,A
22189,CREAM HEART CARD HOLDER,47414.200000000004,15946,1129,0.0027289055616773177,0.1267557772754991,A
15056BL,EDWARDIAN PARASOL BLACK,45885.07,9351,788,0.002640897088234179,0.12939667436373328,A
22178,VICTORIAN GLASS HANGING T-LIGHT,45746.75,37285,1442,0.0026329361352434885,0.13202961049897677,A
22112,CHOCOLATE HOT WATER BOTTLE,45601.340000000004,9904,1447,0.0026245671201019596,0.13465417761907872,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45059.13,24295,1680,0.0025933604376187146,0.13724753805669743,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,44998.270000000004,16469,1233,0.002589857664346495,0.13983739572104392,A
21623,VINTAGE UNION JACK MEMOBOARD,44785.83,6125,499,0.0025776307640186878,0.1424150264850626,A
21181,PLEASE ONE PERSON METAL SIGN,44310.600000000006,22379,1399,0.0025502790889914617,0.14496530557405407,A
22386,JUMBO BAG PINK POLKADOT,43319.16,23572,1055,0.002493217151216083,0.14745852272527016,A
22469,HEART OF WICKER SMALL,43316.54,26193,1779,0.0024930663581504693,0.14995158908342063,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,43313.9,24108,1228,0.0024929144139927526,0.15244450349741337,A
22138,BAKING SET 9 PIECE RETROSPOT ,43070.91,9035,1742,0.002478929220476212,0.15492343271788958,A
21843,RED RETROSPOT CAKE STAND,42862.74,4298,984,0.0024669480783125904,0.15739038079620218,A
22111,SCOTTIE DOG HOT WATER BOTTLE,42463.200000000004,9092,1457,0.002443952711352639,0.15983433350755483,A
21754,HOME BUILDING BLOCK WORD,42453.11,7231,1831,0.002443371985386212,0.16227770549294104,A
21731,RED TOADSTOOL LED NIGHT LIGHT,41824.26,27102,1043,0.002407178771908799,0.16468488426484984,A
21175,GIN + TONIC DIET METAL SIGN,40940.78,19755,1385,0.0023563304293103644,0.1670412146941602,A
22457,NATURAL SLATE HEART CHALKBOARD ,40276.170000000006,14187,1637,0.0023180790631511473,0.16935929375731135,A
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40219.82,14630,1144,0.002314835861148361,0.1716741296184597,A
48138,DOORMAT UNION FLAG,40053.72,6146,874,0.0023052760412253293,0.17397940565968503,A
82494L,WOODEN FRAME ANTIQUE WHITE ,39909.170000000006,14368,1773,0.0022969565230442687,0.1762763621827293,A
20727,LUNCH BAG  BLACK SKULL.,39904.0,25392,1997,0.0022966589657354057,0.1785730211484647,A
21915,RED  HARMONICA IN BOX ,39870.65,35229,884,0.002294739519652124,0.18086776066811683,A
