Customer ID,Recency,Frequency,Monetary,TotalOrders,TotalProducts,AverageOrderValue,LifetimeRevenue,CustomerAgeDays,DaysSinceLastPurchase,Cluster,Segment
12346,326,12,77556.46,12,74285,2281.0723529411766,77556.46,400,326,2,VIP Customers
12347,2,8,4921.53,8,2967,22.16905405405405,4921.53,402,2,2,VIP Customers
12348,75,5,2019.4,5,2714,39.59607843137255,2019.4,362,75,3,Regular Customers
12349,19,4,4428.6900000000005,4,1624,25.306800000000003,4428.6900000000005,570,19,1,Loyal Customers
12350,310,1,334.40000000000003,1,197,19.67058823529412,334.40000000000003,0,310,0,At Risk Customers
12351,375,1,300.93,1,261,14.33,300.93,0,375,0,At Risk Customers
12352,36,10,2849.84,10,724,27.668349514563108,2849.84,356,36,2,VIP Customers
12353,204,2,406.76,2,212,16.948333333333334,406.76,204,204,0,At Risk Customers
12354,232,1,1079.4,1,530,18.610344827586207,1079.4,0,232,0,At Risk Customers
12355,214,2,947.61,2,543,27.074571428571428,947.61,353,214,3,Regular Customers
12356,23,6,6371.7300000000005,6,3416,44.87133802816902,6371.7300000000005,401,23,2,VIP Customers
12357,33,3,18287.66,3,6587,61.78263513513514,18287.66,355,33,2,VIP Customers
12358,2,5,3887.07,5,1079,50.48142857142857,3887.07,730,2,2,VIP Customers
12359,58,10,8873.39,10,2739,24.5121270718232,8873.39,676,58,2,VIP Customers
12360,52,8,4252.89,8,2459,19.59857142857143,4252.89,603,52,2,VIP Customers
12361,287,4,511.25,4,235,17.629310344827587,511.25,394,287,3,Regular Customers
12362,3,11,5356.2300000000005,11,2230,20.06078651685393,5356.2300000000005,735,3,2,VIP Customers
12363,110,2,552.0,2,408,24.0,552.0,132,110,0,At Risk Customers
12364,8,4,1313.1,4,1506,15.448235294117646,1313.1,104,8,1,Loyal Customers
12365,291,2,641.38,2,174,29.15363636363636,641.38,0,291,0,At Risk Customers
12366,634,1,500.24,1,296,166.74666666666667,500.24,0,634,0,At Risk Customers
12367,4,1,168.9,1,173,15.354545454545455,168.9,0,4,1,Loyal Customers
12368,628,1,917.7,1,330,50.98333333333333,917.7,0,628,0,At Risk Customers
12369,413,3,1791.15,3,1241,19.25967741935484,1791.15,228,413,3,Regular Customers
12370,51,7,4316.56,7,2604,21.47542288557214,4316.56,617,51,2,VIP Customers
12371,45,5,4067.38,5,1436,24.35556886227545,4067.38,600,45,3,Regular Customers
12372,72,3,1298.04,3,794,24.962307692307693,1298.04,224,72,3,Regular Customers
12373,311,3,1127.65,3,516,22.11078431372549,1127.65,362,311,3,Regular Customers
12374,25,4,2989.2200000000003,4,1362,36.01469879518073,2989.2200000000003,563,25,1,Loyal Customers
12375,11,2,457.5,2,178,26.91176470588235,457.5,87,11,1,Loyal Customers
12376,390,2,503.15,2,240,38.70384615384615,503.15,28,390,0,At Risk Customers
12377,315,4,3426.32,4,2105,22.54157894736842,3426.32,274,315,3,Regular Customers
12378,130,2,5416.32,2,3316,17.994418604651162,5416.32,432,130,3,Regular Customers
12379,82,4,1620.22,4,815,20.00271604938272,1620.22,452,82,3,Regular Customers
12380,22,11,9676.3,11,3355,34.93249097472925,9676.3,640,22,2,VIP Customers
12381,5,5,1845.31,5,808,21.21045977011494,1845.31,115,5,1,Loyal Customers
12383,185,5,1850.56,5,1532,18.69252525252525,1850.56,167,185,3,Regular Customers
12384,29,2,585.27,2,126,21.676666666666662,585.27,92,29,1,Loyal Customers
12385,379,1,1938.4,1,612,29.821538461538463,1938.4,0,379,3,Regular Customers
12386,338,2,401.9,2,354,40.19,401.9,29,338,0,At Risk Customers
12387,415,1,143.94,1,134,15.993333333333332,143.94,0,415,0,At Risk Customers
12388,16,8,3901.11,8,2001,26.71993150684932,3901.11,566,16,2,VIP Customers
12389,403,3,1433.33,3,614,29.251632653061225,1433.33,253,403,3,Regular Customers
12390,80,1,549.84,1,353,17.1825,549.84,0,80,0,At Risk Customers
12391,22,6,2724.84,6,1204,10.205393258426966,2724.84,641,22,2,VIP Customers
12392,591,1,234.75000000000003,1,73,33.53571428571429,234.75000000000003,0,591,0,At Risk Customers
12393,72,6,2399.45,6,1311,22.424766355140186,2399.45,356,72,3,Regular Customers
12394,64,2,1272.48,2,819,47.12888888888889,1272.48,153,64,1,Loyal Customers
12395,19,15,4721.17,15,3205,19.50896694214876,4721.17,583,19,2,VIP Customers
12396,674,1,931.43,1,591,14.329692307692309,931.43,0,674,0,At Risk Customers
12397,36,2,2409.9,2,1263,19.12619047619048,2409.9,99,36,1,Loyal Customers
12398,46,1,1635.66,1,1394,19.24305882352941,1635.66,0,46,1,Loyal Customers
12399,119,7,1962.3,7,2198,17.83909090909091,1962.3,525,119,3,Regular Customers
12400,414,1,205.25,1,91,18.65909090909091,205.25,0,414,0,At Risk Customers
12401,303,1,84.3,1,11,16.86,84.3,0,303,0,At Risk Customers
12402,323,6,1256.9,6,584,17.955714285714286,1256.9,347,323,3,Regular Customers
12403,50,2,1019.36,2,260,113.26222222222222,1019.36,471,50,1,Loyal Customers
12404,682,1,63.24,1,1,63.24,63.24,0,682,0,At Risk Customers
12405,149,1,1710.39,1,857,31.67388888888889,1710.39,0,149,3,Regular Customers
12406,22,5,6390.36,5,3416,38.49614457831325,6390.36,675,22,2,VIP Customers
12407,50,5,1708.12,5,1416,22.18337662337662,1708.12,214,50,3,Regular Customers
12408,33,8,4340.77,8,2229,27.30044025157233,4340.77,465,33,2,VIP Customers
12409,79,7,23419.29,7,13143,88.70943181818183,23419.29,486,79,2,VIP Customers
12410,309,3,1013.71,3,341,25.34275,1013.71,193,309,3,Regular Customers
12411,410,1,346.9,1,138,15.768181818181818,346.9,0,410,0,At Risk Customers
12412,75,6,2596.93,6,1997,20.448267716535437,2596.93,464,75,3,Regular Customers
12413,67,4,999.45,4,319,19.59705882352941,999.45,335,67,3,Regular Customers
12414,217,6,952.41,6,495,34.01464285714286,952.41,246,217,3,Regular Customers
12415,24,28,144458.37,28,91447,156.00255939524837,144458.37,503,24,2,VIP Customers
12416,657,1,202.56,1,132,18.41454545454545,202.56,0,657,0,At Risk Customers
12417,3,20,6797.41,20,2884,18.42116531165312,6797.41,730,3,2,VIP Customers
12418,113,4,2021.2,4,1088,19.815686274509805,2021.2,517,113,3,Regular Customers
12419,386,2,503.01,2,231,20.1204,503.01,27,386,0,At Risk Customers
12420,64,1,600.39,1,345,20.70310344827586,600.39,0,64,1,Loyal Customers
12421,16,6,1098.6,6,652,16.90153846153846,1098.6,489,16,1,Loyal Customers
12422,96,17,5231.8,17,2596,30.41744186046512,5231.8,625,96,2,VIP Customers
12423,1,10,2622.39,10,1793,15.893272727272729,2622.39,465,1,2,VIP Customers
