StockCode,Description,ABC_Class,Velocity,AvgDailyQty,SafetyStock,ReorderPoint,CurrentStock,EOQ,ReorderRecommended
22423,REGENCY CAKESTAND 3 TIER,A,Fast Moving,47.581854043392504,5462.9,5796.0,5216.0,589.0,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A,Fast Moving,152.4202657807309,42529.1,43596.0,39236.0,1055.0,1
23843,"PAPER CRAFT , LITTLE BIRDIE",A,Fast Moving,80995.0,566965.0,1133930.0,1530806.0,24316.0,0
M,Manual,A,Normal,27.121387283236995,23414.2,23604.0,28325.0,445.0,0
85099B,JUMBO BAG RED RETROSPOT,A,Fast Moving,163.48898678414096,20975.6,22120.0,16590.0,1092.0,1
POST,POSTAGE,A,Normal,10.224609375,656.4,728.0,983.0,273.0,0
84879,ASSORTED COLOUR BIRD ORNAMENT,A,Fast Moving,135.11917098445596,45744.2,46690.0,77038.0,993.0,0
47566,PARTY BUNTING,A,Fast Moving,48.47107438016529,4770.7,5110.0,3832.0,595.0,1
23166,MEDIUM CERAMIC TOP STORAGE JAR,A,Fast Moving,677.5304347826087,1034267.3,1039010.0,311703.0,2224.0,1
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A,Fast Moving,103.95604395604396,15274.3,16002.0,7201.0,871.0,1
79321,CHILLI LIGHTS,A,Normal,36.55911330049261,8704.1,8960.0,6720.0,517.0,1
85099F,JUMBO BAG STRAWBERRY,A,Fast Moving,68.27047619047619,13886.1,14364.0,4309.0,706.0,1
21137,BLACK RECORD COVER FRAME,A,Fast Moving,57.01857585139319,13418.9,13818.0,12436.0,645.0,1
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A,Fast Moving,138.8640776699029,131748.0,132720.0,139356.0,1007.0,0
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,Normal,22.718309859154928,15003.0,15162.0,11372.0,407.0,1
21621,VINTAGE UNION JACK BUNTING,A,Normal,14.002155172413794,5614.0,5712.0,6854.0,320.0,0
15056N,EDWARDIAN PARASOL NATURAL,A,Normal,24.76923076923077,8478.6,8652.0,9085.0,425.0,0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,Fast Moving,53.815642458100555,7323.3,7700.0,2310.0,627.0,1
23084,RABBIT NIGHT LIGHT,A,Fast Moving,288.86170212765956,35036.0,37058.0,55587.0,1452.0,0
22470,HEART OF WICKER LARGE,A,Fast Moving,42.336633663366335,17791.6,18088.0,8140.0,556.0,1
21733,RED HANGING HEART T-LIGHT HOLDER,A,Normal,34.11485148514851,12445.2,12684.0,7610.0,499.0,1
21931,JUMBO STORAGE BAG SUKI,A,Fast Moving,46.62477558348294,5693.6,6020.0,3612.0,583.0,1
22189,CREAM HEART CARD HOLDER,A,Normal,34.969298245614034,28301.2,28546.0,21410.0,505.0,1
15056BL,EDWARDIAN PARASOL BLACK,A,Normal,22.532530120481926,9124.3,9282.0,6962.0,406.0,1
22178,VICTORIAN GLASS HANGING T-LIGHT,A,Fast Moving,70.34905660377359,13955.6,14448.0,6502.0,717.0,1
22112,CHOCOLATE HOT WATER BOTTLE,A,Normal,25.201017811704833,2133.6,2310.0,2772.0,429.0,0
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,Fast Moving,46.01325757575758,6845.9,7168.0,5376.0,580.0,1
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,Fast Moving,82.75879396984925,7834.7,8414.0,6310.0,777.0,1
21623,VINTAGE UNION JACK MEMOBOARD,A,Normal,20.76271186440678,13980.7,14126.0,21189.0,389.0,0
21181,PLEASE ONE PERSON METAL SIGN,A,Fast Moving,63.39660056657224,9874.2,10318.0,15477.0,680.0,0
22386,JUMBO BAG PINK POLKADOT,A,Fast Moving,70.1547619047619,12696.9,13188.0,9891.0,716.0,1
22469,HEART OF WICKER SMALL,A,Fast Moving,66.64885496183206,19203.5,19670.0,8852.0,698.0,1
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,Fast Moving,49.60493827160494,11566.8,11914.0,3574.0,602.0,1
22138,BAKING SET 9 PIECE RETROSPOT ,A,Normal,17.99800796812749,5754.0,5880.0,9702.0,362.0,0
21843,RED RETROSPOT CAKE STAND,A,Normal,10.718204488778055,3271.0,3346.0,3011.0,280.0,1
22111,SCOTTIE DOG HOT WATER BOTTLE,A,Normal,23.989445910290236,7574.1,7742.0,11613.0,418.0,0
21754,HOME BUILDING BLOCK WORD,A,Normal,12.935599284436494,763.5,854.0,769.0,307.0,1
21731,RED TOADSTOOL LED NIGHT LIGHT,A,Fast Moving,58.40948275862069,10315.1,10724.0,17695.0,653.0,0
21175,GIN + TONIC DIET METAL SIGN,A,Fast Moving,40.316326530612244,28641.8,28924.0,39047.0,543.0,0
22457,NATURAL SLATE HEART CHALKBOARD ,A,Normal,31.38716814159292,8964.3,9184.0,4133.0,479.0,1
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,A,Normal,32.01312910284464,6523.9,6748.0,7085.0,483.0,0
48138,DOORMAT UNION FLAG,A,Normal,16.977900552486187,7105.2,7224.0,10836.0,352.0,0
82494L,WOODEN FRAME ANTIQUE WHITE ,A,Normal,28.0625,2183.6,2380.0,3213.0,453.0,0
20727,LUNCH BAG  BLACK SKULL.,A,Fast Moving,45.505376344086024,36837.5,37156.0,27867.0,576.0,1
21915,RED  HARMONICA IN BOX ,A,Fast Moving,89.86989795918367,29582.9,30212.0,18127.0,810.0,1
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,A,Fast Moving,43.76656151419559,16563.6,16870.0,12652.0,565.0,1
21232,STRAWBERRY CERAMIC TRINKET BOX,A,Fast Moving,66.99407114624506,9681.0,10150.0,3045.0,699.0,1
22502,PICNIC BASKET WICKER 60 PIECES,A,Fast Moving,61.0,427.0,854.0,256.0,667.0,1
21166,COOK WITH WINE METAL SIGN ,A,Fast Moving,45.38568129330254,6654.3,6972.0,8366.0,576.0,0
82482,WOODEN PICTURE FRAME WHITE FINISH,A,Normal,31.223552894211576,4485.4,4704.0,3528.0,477.0,1
20728,LUNCH BAG CARS BLUE,A,Fast Moving,42.21739130434783,33892.5,34188.0,56410.0,555.0,0
84078A,SET/4 WHITE RETRO STORAGE CUBES ,A,Normal,5.3,2342.9,2380.0,1428.0,197.0,1
22629,SPACEBOY LUNCH BOX ,A,Fast Moving,51.58015267175573,8598.9,8960.0,14784.0,614.0,0
23284,DOORMAT KEEP CALM AND COME IN,A,Normal,37.59154929577465,7198.9,7462.0,12312.0,524.0,0
23298,SPOTTY BUNTING,A,Fast Moving,41.483695652173914,4287.6,4578.0,4120.0,550.0,1
85066,CREAM SWEETHEART MINI CHEST,A,Normal,6.855813953488372,2290.0,2338.0,3156.0,224.0,0
20713,JUMBO BAG OWLS,A,Fast Moving,48.41542288557214,10301.1,10640.0,9576.0,595.0,1
48194,DOORMAT HEARTS,A,Normal,14.690355329949238,7233.2,7336.0,6602.0,327.0,1
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A,Normal,26.975609756097562,5103.2,5292.0,3969.0,444.0,1
22960,JAM MAKING SET WITH JARS,A,Normal,29.55944055944056,3181.1,3388.0,3049.0,465.0,1
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,A,Normal,27.45777777777778,20751.8,20944.0,18850.0,448.0,1
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,A,Normal,28.266129032258064,9868.1,10066.0,7550.0,454.0,1
20726,LUNCH BAG WOODLAND,A,Normal,37.822784810126585,33489.2,33754.0,50631.0,525.0,0
22197,SMALL POPCORN HOLDER,A,Fast Moving,119.98603351955308,59360.1,60200.0,18060.0,936.0,1
22699,ROSES REGENCY TEACUP AND SAUCER ,A,Normal,33.349162011173185,10728.6,10962.0,6577.0,493.0,1
20725,LUNCH BAG RED RETROSPOT,A,Fast Moving,57.32768361581921,7214.7,7616.0,5712.0,647.0,1
84029E,RED WOOLLY HOTTIE WHITE HEART.,A,Normal,32.833333333333336,7582.2,7812.0,2344.0,490.0,1
20685,DOORMAT RED RETROSPOT,A,Normal,15.705882352941176,5490.1,5600.0,2520.0,339.0,1
21755,LOVE BUILDING BLOCK WORD,A,Normal,10.30134357005758,627.9,700.0,630.0,274.0,1
48187,DOORMAT NEW ENGLAND,A,Normal,16.336507936507935,7193.6,7308.0,12058.0,345.0,0
22630,DOLLY GIRL LUNCH BOX,A,Fast Moving,45.87301587301587,8638.9,8960.0,2688.0,579.0,1
22727,ALARM CLOCK BAKELIKE RED ,A,Normal,25.408955223880596,9244.1,9422.0,9893.0,431.0,0
85152,HAND OVER THE CHOCOLATE   SIGN ,A,Normal,32.68421052631579,8451.2,8680.0,3906.0,488.0,1
82486,WOOD S/3 CABINET ANT WHITE FINISH,A,Normal,9.49757281553398,969.5,1036.0,777.0,263.0,1
22382,LUNCH BAG SPACEBOY DESIGN ,A,Normal,35.87428571428571,3290.9,3542.0,4250.0,512.0,0
22385,JUMBO BAG SPACEBOY DESIGN,A,Normal,37.83602771362587,7351.1,7616.0,7997.0,526.0,0
21523,DOORMAT FANCY FONT HOME SWEET HOME,A,Normal,17.481884057971016,6877.6,7000.0,6300.0,357.0,1
48185,DOORMAT FAIRY CAKE,A,Normal,18.03030303030303,9421.8,9548.0,14322.0,363.0,0
20712,JUMBO BAG WOODLAND ANIMALS,A,Normal,34.75442477876106,5790.7,6034.0,7241.0,504.0,0
15036,ASSORTED COLOURS SILK FAN,A,Fast Moving,120.21700879765396,24526.5,25368.0,26636.0,937.0,0
47590B,PINK HAPPY BIRTHDAY BUNTING,A,Normal,13.852941176470589,5517.0,5614.0,7579.0,318.0,0
20679,EDWARDIAN PARASOL RED,A,Normal,17.12784090909091,8784.1,8904.0,4007.0,354.0,1
20914,SET/5 RED SPOTTY LID GLASS BOWLS,A,Fast Moving,43.858333333333334,8387.0,8694.0,5216.0,566.0,1
82483,WOOD 2 DRAWER CABINET WHITE FINISH,A,Normal,10.776523702031604,1660.6,1736.0,1562.0,280.0,1
22379,RECYCLING BAG RETROSPOT ,A,Normal,31.269736842105264,9917.1,10136.0,9122.0,478.0,1
22139,RETROSPOT TEA SET CERAMIC 11 PC ,A,Normal,18.123028391167193,1315.1,1442.0,865.0,364.0,1
22865,HAND WARMER OWL DESIGN,A,Fast Moving,72.73936170212765,6546.8,7056.0,4234.0,729.0,1
22188,BLACK HEART CARD HOLDER,A,Normal,34.06976744186046,27985.5,28224.0,21168.0,499.0,1
22622,BOX OF VINTAGE ALPHABET BLOCKS,A,Normal,10.046099290780141,2211.7,2282.0,685.0,271.0,1
20725,LUNCH BAG RED SPOTTY,A,Fast Moving,68.45490196078431,5400.8,5880.0,1764.0,707.0,1
22666,RECIPE BOX PANTRY YELLOW DESIGN,A,Normal,24.427480916030536,8817.0,8988.0,4045.0,422.0,1
22077,6 RIBBONS RUSTIC CHARM,A,Normal,33.95338983050848,4158.3,4396.0,2638.0,498.0,1
21928,JUMBO BAG SCANDINAVIAN PAISLEY,A,Fast Moving,52.061016949152545,5963.6,6328.0,1898.0,616.0,1
22659,LUNCH BOX I LOVE LONDON,A,Fast Moving,42.57303370786517,9894.0,10192.0,7644.0,557.0,1
23245,SET OF 3 REGENCY CAKE TINS,A,Normal,37.70322580645161,8304.1,8568.0,10282.0,525.0,0
23199,JUMBO BAG APPLES,A,Fast Moving,71.15384615384616,13823.9,14322.0,17186.0,721.0,0
21977,PACK OF 60 PINK PAISLEY CAKE CASES,A,Fast Moving,100.909426987061,37429.6,38136.0,34322.0,858.0,1
22467,GUMBALL COAT RACK,A,Normal,31.922005571030642,4564.5,4788.0,6464.0,483.0,0
22492,MINI PAINT SET VINTAGE ,A,Fast Moving,121.01166180758017,18668.9,19516.0,14637.0,940.0,1
72741,GRAND CHOCOLATECANDLE,A,Fast Moving,46.57971014492754,9375.9,9702.0,4366.0,583.0,1
84991,60 TEATIME FAIRY CAKE CASES,A,Fast Moving,98.92883895131087,16527.5,17220.0,23247.0,850.0,0
22752,SET 7 BABUSHKA NESTING BOXES,A,Normal,12.258426966292134,2980.2,3066.0,4599.0,299.0,0
22726,ALARM CLOCK BAKELIKE GREEN,A,Normal,22.602693602693602,4069.8,4228.0,5074.0,406.0,0
22386,JUMBO BAG PINK WITH WHITE SPOTS,A,Fast Moving,67.8128078817734,5825.3,6300.0,2835.0,704.0,1
85099B,JUMBO BAG RED WHITE SPOTTY ,A,Fast Moving,130.93396226415095,9527.5,10444.0,14099.0,978.0,0
23355,HOT WATER BOTTLE KEEP CALM,A,Fast Moving,56.52127659574468,4938.4,5334.0,6401.0,642.0,0
47566B,TEA TIME PARTY BUNTING,A,Normal,16.752238805970148,5482.7,5600.0,3360.0,350.0,1
22149,FELTCRAFT 6 FLOWER FRIENDS,A,Normal,26.068522483940043,8889.5,9072.0,10886.0,436.0,0
48138,DOOR MAT UNION FLAG,A,Normal,24.55921052631579,2656.1,2828.0,4666.0,423.0,0
23201,JUMBO BAG ALPHABET,A,Fast Moving,63.619289340101524,9662.7,10108.0,15162.0,681.0,0
22624,IVORY KITCHEN SCALES,A,Normal,7.419847328244275,746.1,798.0,239.0,233.0,1
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,A,Fast Moving,229.66157205240174,66264.4,67872.0,50904.0,1295.0,1
20972,PINK CREAM FELT CRAFT TRINKET BOX ,A,Fast Moving,40.61538461538461,17215.7,17500.0,15750.0,545.0,1
37503,TEA TIME CAKE STAND IN GIFT BOX,A,Normal,13.780346820809248,2115.5,2212.0,995.0,317.0,1
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,A,Fast Moving,84.24678111587983,19570.3,20160.0,21168.0,784.0,0
20971,PINK BLUE FELT CRAFT TRINKET BOX,A,Fast Moving,45.35398230088496,39834.5,40152.0,24091.0,575.0,1
47590A,BLUE HAPPY BIRTHDAY BUNTING,A,Normal,13.849112426035504,5517.1,5614.0,7579.0,318.0,0
22697,GREEN REGENCY TEACUP AND SAUCER,A,Normal,24.709302325581394,2683.0,2856.0,1285.0,425.0,1
22866,HAND WARMER SCOTTY DOG DESIGN,A,Fast Moving,68.2280701754386,5626.4,6104.0,10072.0,706.0,0
22197,POPCORN HOLDER,A,Fast Moving,207.51006711409397,38503.4,39956.0,35960.0,1231.0,1
84836,ZINC METAL HEART DECORATION,A,Normal,38.19762845849802,6592.6,6860.0,9261.0,528.0,0
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,A,Fast Moving,49.92828685258964,43498.5,43848.0,39463.0,604.0,1
